identity/LineItemId,identity/TimeInterval,bill/InvoiceId,bill/InvoicingEntity,bill/BillingEntity,bill/BillType,bill/PayerAccountId,bill/BillingPeriodStartDate,bill/BillingPeriodEndDate,lineItem/UsageAccountId,lineItem/LineItemType,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/ProductCode,lineItem/UsageType,lineItem/Operation,lineItem/AvailabilityZone,lineItem/ResourceId,lineItem/UsageAmount,lineItem/NormalizationFactor,lineItem/NormalizedUsageAmount,lineItem/CurrencyCode,lineItem/UnblendedRate,lineItem/UnblendedCost,lineItem/BlendedRate,lineItem/BlendedCost,lineItem/LineItemDescription,lineItem/TaxType,lineItem/LegalEntity,product/ProductName,product/availability,product/availabilityZone,product/capacitystatus,product/classicnetworkingsupport,product/clockSpeed,product/currentGeneration,product/dedicatedEbsThroughput,product/dedicatedEbsThroughputDescription,product/durability,product/ecu,product/enhancedNetworkingSupported,product/feeCode,product/feeDescription,product/fromLocation,product/fromLocationType,product/fromRegionCode,product/gpuMemory,product/group,product/groupDescription,product/instance,product/instanceFamily,product/instanceFamilyCategory,product/instanceType,product/instanceTypeFamily,product/intelAvx2Available,product/intelAvxAvailable,product/intelTurboAvailable,product/licenseModel,product/location,product/locationType,product/marketoption,product/maxIopsvolume,product/maxThroughputvolume,product/maxVolumeSize,product/memory,product/messageDeliveryFrequency,product/messageDeliveryOrder,product/networkPerformance,product/normalizationSizeFactor,product/operatingSystem,product/operation,product/physicalProcessor,product/preInstalledSw,product/processorArchitecture,product/processorFeatures,product/productFamily,product/queueType,product/region,product/regionCode,product/servicecode,product/servicename,product/sku,product/storage,product/storageClass,product/storageMedia,product/tenancy,product/toLocation,product/toLocationType,product/toRegionCode,product/transferType,product/usagetype,product/vcpu,product/volumeApiName,product/volumeType,product/vpcnetworkingsupport,pricing/RateCode,pricing/RateId,pricing/currency,pricing/publicOnDemandCost,pricing/publicOnDemandRate,pricing/term,pricing/unit,reservation/AmortizedUpfrontCostForUsage,reservation/AmortizedUpfrontFeeForBillingPeriod,reservation/EffectiveCost,reservation/EndTime,reservation/ModificationStatus,reservation/NormalizedUnitsPerReservation,reservation/NumberOfReservations,reservation/RecurringFeeForUsage,reservation/StartTime,reservation/SubscriptionId,reservation/TotalReservedNormalizedUnits,reservation/TotalReservedUnits,reservation/UnitsPerReservation,reservation/UnusedAmortizedUpfrontFeeForBillingPeriod,reservation/UnusedNormalizedUnitQuantity,reservation/UnusedQuantity,reservation/UnusedRecurringFee,reservation/UpfrontValue,savingsPlan/TotalCommitmentToDate,savingsPlan/SavingsPlanARN,savingsPlan/SavingsPlanRate,savingsPlan/UsedCommitment,savingsPlan/SavingsPlanEffectiveCost,savingsPlan/AmortizedUpfrontCommitmentForBillingPeriod,savingsPlan/RecurringCommitmentForBillingPeriod
6zb235rcupsypbhue63j2ytlkmdexfqn2ucddg327qwjdodix3sa,2026-04-16T16:51:59Z/2026-05-01T00:00:00Z,,"Amazon Web Services, Inc.",AWS,Anniversary,430155298731,2026-04-01T00:00:00Z,2026-05-01T00:00:00Z,430155298731,Tax,2026-04-16T16:51:59Z,2026-05-01T00:00:00Z,AmazonEC2,BoxUsage:t3.micro,RunInstances,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AmazonEC2 usage type BoxUsage:t3.micro operation RunInstances,VAT,"Amazon Web Services, Inc.",Amazon Elastic Compute Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4obmhaw4ogn3wmgxpwu6zwjqxpxxdg2w7piioaivccojqkefx6sa,2026-04-16T16:51:59Z/2026-05-01T00:00:00Z,,"Amazon Web Services, Inc.",AWS,Anniversary,430155298731,2026-04-01T00:00:00Z,2026-05-01T00:00:00Z,430155298731,Tax,2026-04-16T16:51:59Z,2026-05-01T00:00:00Z,AmazonEC2,CPUCredits:t3,T3CPUCredits,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AmazonEC2 usage type CPUCredits:t3 operation T3CPUCredits,VAT,"Amazon Web Services, Inc.",Amazon Elastic Compute Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3agyfy7sil6srqs6q5k2yhpdhyq74xnquuedfheg4ztbv4jtqipa,2026-04-16T16:51:59Z/2026-05-01T00:00:00Z,,"Amazon Web Services, Inc.",AWS,Anniversary,430155298731,2026-04-01T00:00:00Z,2026-05-01T00:00:00Z,430155298731,Tax,2026-04-16T16:51:59Z,2026-05-01T00:00:00Z,AmazonEC2,EUN1-BoxUsage:t3.micro,RunInstances,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AmazonEC2 usage type EUN1-BoxUsage:t3.micro operation RunInstances,VAT,"Amazon Web Services, Inc.",Amazon Elastic Compute Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qs4pqo3jt6nohwexfymii2xewr2hmebgzuwywqx5ccngpgbdu6ya,2026-04-16T16:51:59Z/2026-05-01T00:00:00Z,,"Amazon Web Services, Inc.",AWS,Anniversary,430155298731,2026-04-01T00:00:00Z,2026-05-01T00:00:00Z,430155298731,Tax,2026-04-16T16:51:59Z,2026-05-01T00:00:00Z,AmazonEC2,EUN1-CPUCredits:t3,T3CPUCredits,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AmazonEC2 usage type EUN1-CPUCredits:t3 operation T3CPUCredits,VAT,"Amazon Web Services, Inc.",Amazon Elastic Compute Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d55oekkdbm653vyrzsjbssmqp7hlgknrenc2gnm5gqtfkibud3ta,2026-04-16T16:51:57Z/2026-05-01T00:00:00Z,,"Amazon Web Services, Inc.",AWS,Anniversary,430155298731,2026-04-01T00:00:00Z,2026-05-01T00:00:00Z,430155298731,Tax,2026-04-16T16:51:57Z,2026-05-01T00:00:00Z,AmazonVPC,EUN1-PublicIPv4:InUseAddress,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AmazonVPC usage type EUN1-PublicIPv4:InUseAddress,VAT,"Amazon Web Services, Inc.",Amazon Virtual Private Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ekxfodpjkgbiwcosaayjvowbiojx2d5krfs6s3belz4l5dtxqiaq,2026-04-16T16:51:57Z/2026-05-01T00:00:00Z,,"Amazon Web Services, Inc.",AWS,Anniversary,430155298731,2026-04-01T00:00:00Z,2026-05-01T00:00:00Z,430155298731,Tax,2026-04-16T16:51:57Z,2026-05-01T00:00:00Z,AmazonVPC,USE1-PublicIPv4:InUseAddress,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AmazonVPC usage type USE1-PublicIPv4:InUseAddress,VAT,"Amazon Web Services, Inc.",Amazon Virtual Private Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elz6uazkynigstljx5iu6t3tsypr3ymfitvwdu2pr7ejbauce7mq,2026-04-20T00:00:00Z/2026-04-20T01:00:00Z,,"Amazon Web Services, Inc.",AWS,Anniversary,430155298731,2026-04-01T00:00:00Z,2026-05-01T00:00:00Z,430155298731,Credit,2026-04-20T00:00:00Z,2026-04-20T01:00:00Z,AmazonS3,TimedStorage-ByteHrs,,,,0.0000000000,,,USD,,-0.0000000200,,-0.0000000200,AWS Free Tier,,"Amazon Web Services, Inc.",Amazon Simple Storage Service,99.99%,,,,,,,,99.999999999%,,,,,,,,,,,,,,,,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,,Storage,,us-east-1,us-east-1,AmazonS3,Amazon Simple Storage Service,WP9ANXZGBYYSGJEA,,General Purpose,,,,,,,TimedStorage-ByteHrs,,,Standard,,,444249170036,USD,0.0000000000,0.0230000000,OnDemand,GB-Mo,,,,,,,,,,23742807738,,,,,,,,,,,,,,,
elz6uazkynigstljx5iu6t3tsypr3ymfitvwdu2pr7ejbauce7mq,2026-04-21T00:00:00Z/2026-04-21T01:00:00Z,,"Amazon Web Services, Inc.",AWS,Anniversary,430155298731,2026-04-01T00:00:00Z,2026-05-01T00:00:00Z,430155298731,Credit,2026-04-21T00:00:00Z,2026-04-21T01:00:00Z,AmazonS3,TimedStorage-ByteHrs,,,,0.0000000000,,,USD,,-0.0000000881,,-0.0000000881,AWS Free Tier,,"Amazon Web Services, Inc.",Amazon Simple Storage Service,99.99%,,,,,,,,99.999999999%,,,,,,,,,,,,,,,,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,,Storage,,us-east-1,us-east-1,AmazonS3,Amazon Simple Storage Service,WP9ANXZGBYYSGJEA,,General Purpose,,,,,,,TimedStorage-ByteHrs,,,Standard,,,444249170036,USD,0.0000000000,0.0230000000,OnDemand,GB-Mo,,,,,,,,,,23742807738,,,,,,,,,,,,,,,
elz6uazkynigstljx5iu6t3tsypr3ymfitvwdu2pr7ejbauce7mq,2026-04-22T00:00:00Z/2026-04-22T01:00:00Z,,"Amazon Web Services, Inc.",AWS,Anniversary,430155298731,2026-04-01T00:00:00Z,2026-05-01T00:00:00Z,430155298731,Credit,2026-04-22T00:00:00Z,2026-04-22T01:00:00Z,AmazonS3,TimedStorage-ByteHrs,,,,0.0000000000,,,USD,,-0.0000001465,,-0.0000001465,AWS Free Tier,,"Amazon Web Services, Inc.",Amazon Simple Storage Service,99.99%,,,,,,,,99.999999999%,,,,,,,,,,,,,,,,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,,Storage,,us-east-1,us-east-1,AmazonS3,Amazon Simple Storage Service,WP9ANXZGBYYSGJEA,,General Purpose,,,,,,,TimedStorage-ByteHrs,,,Standard,,,444249170036,USD,0.0000000000,0.0230000000,OnDemand,GB-Mo,,,,,,,,,,23742807738,,,,,,,,,,,,,,,
elz6uazkynigstljx5iu6t3tsypr3ymfitvwdu2pr7ejbauce7mq,2026-04-23T00:00:00Z/2026-04-23T01:00:00Z,,"Amazon Web Services, Inc.",AWS,Anniversary,430155298731,2026-04-01T00:00:00Z,2026-05-01T00:00:00Z,430155298731,Credit,2026-04-23T00:00:00Z,2026-04-23T01:00:00Z,AmazonS3,TimedStorage-ByteHrs,,,,0.0000000000,,,USD,,-0.0000002746,,-0.0000002746,AWS Free Tier,,"Amazon Web Services, Inc.",Amazon Simple Storage Service,99.99%,,,,,,,,99.999999999%,,,,,,,,,,,,,,,,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,,Storage,,us-east-1,us-east-1,AmazonS3,Amazon Simple Storage Service,WP9ANXZGBYYSGJEA,,General Purpose,,,,,,,TimedStorage-ByteHrs,,,Standard,,,444249170036,USD,0.0000000000,0.0230000000,OnDemand,GB-Mo,,,,,,,,,,23742807738,,,,,,,,,,,,,,,
